name_1,name_2,street_1,street_2,city,zip,phone,website,latitude,longitude,flag_saf,flag_mhf,flag_mc,flag_md,flag_np_ss,flag_pi,flag_gl,flag_vet,flag_pw,flag_hv,flag_dv,flag_chld,flag_yad,flag_adlt,flag_snr,flag_si,filter_military,filter_inpatient_svc,filter_residential_pgm
AHRC Healthcare Inc,Outpatient Chemical Dependency Program,83 Maiden Lane,6th Floor,New York,10038,(212) 780-2570,www.accesschc.org,40.707546000000001,-74.007344000000003,1,,1,1,,1,,,,,,1,,1,,1,,,
Epilepsy Institute,DBA Epilepsy Foundation Counseling Ctr,65 Broadway Street,5th Floor Suite 505,New York,10006,212-677-8550-14,www.efmny.org,40.707203000000000,-74.012444000000002,,1,1,1,,,1,,,,,,1,1,1,,,,
Lower Eastside Service Center,Unit I,46 East Broadway,Ground Floor,New York,10002,212-343-3533,www.lesc.org,40.713884999999998,-73.995886999999996,1,,1,1,,,,,,,,,1,1,,,,,
Lower Eastside Service Center Inc,Continuing Day Treatment Program,46 East Broadway,2nd Floor,New York,10002,212-343-3563,http://LESC.ORG,40.713814999999997,-73.995870999999994,,1,1,1,,1,,,,,,,1,1,1,,,,
Lower Eastside Service Center,Clinic III OTP 1,46 East Broadway,4th and 5th Floors,New York,10002,212-343-3551,www.lesc.org,40.713814999999997,-73.995870999999994,1,,,1,,,1,,,,,,1,1,,,,,
Lower Eastside Service Center,DRS/Drug Abuse Outpatient Clinic,46 East Broadway,6th Floor,New York,10002,212-343-3520,http://www.lesc.org,40.713712000000001,-73.995795999999999,1,,,1,,,,,,,,,1,1,,,,,
Center for Hearing and Communications,,50 Broadway,Floor 6,New York,10004,917-305-7700,http://chchearing.org,40.706440999999998,-74.012651000000005,,1,1,1,,1,1,1,,1,,1,1,1,1,1,1,,
Exponents Inc,Outpatient Drug Abuse Clinic,2 Washington Street,4th Floor,New York,10004,212-243-3434-102,www.exponents.org,40.705660000000002,-74.015563000000000,1,,,1,,,1,1,,1,1,,1,1,,,1,,
Lafayette Medical Approach LLC,LaFayette Medical Approach Inc OTP,233 Lafayette Street,,New York,10012,212-966-7193,http://www.lafayettemedical.org,40.722445000000000,-73.996892000000003,1,,,1,,,,,,,,,1,1,,,,,
Hamilton Madison House Inc,PROSpect Place,253 South Street,3rd Floor,New York,10002,212-720-4540,www.hmhonline.org,40.710149999999999,-73.990403000000001,,1,1,1,,,,,,,,,1,1,1,,,,
Hamilton Madison House Inc,Asian American Behavioral Health Servs,253 South Street,,New York,10002,212-720-4520,http://www.hamiltonmadisonhouse.org/,40.710149999999999,-73.990403000000001,,,1,1,,1,,,,,,1,1,1,1,1,,,
NYC/HHC Gouverneur Hosp D T Ctr SN,Geriatric Continuing Day Trt Prog,227 Madison Street,5th Floor Ambulatory Care Pavillion,New York,10002,212-238-7386,www.nyc.gov/html/hhc/gouverneur/html/home/.shtml,40.713208000000002,-73.987786999999997,,1,1,1,,1,,,,,,1,1,1,1,,,,
University Settlement Society of NY,Victory Guild Consultation Center,184 Eldridge Street,,New York,10002,212-453-4522,,40.720647999999997,-73.990683000000004,,1,1,1,,1,1,,,,,1,1,1,1,1,,,
New York Center Addiction Treatment OP,,598 Broadway,2nd Floor,New York,10012,212-966-9537,www.nycats.net,40.725183999999999,-73.996942000000004,1,,,1,,,1,,1,1,1,,1,1,,,,,
Educational Alliance Inc,Pride Site II,232 East Broadway,,New York,10009,646-395-4400,http://www.edalliance.org,40.714590999999999,-73.986716999999999,1,,,,,,1,1,,1,1,,1,1,,1,1,,1
Greenwich House Inc,Greenwich House East OTP,190 Mercer Street,4th Floor,New York,10012,212-677-3400,www.greenwichhouse.org,40.726196999999999,-73.997144000000006,1,,,1,,,,,,,,,1,1,,,,,
Henry Street Settlement,Community Consultation Center,40 Montgomery Street,,New York,10002,212-233-5032,http://www.henrystreet.org/,40.712823000000000,-73.985039999999998,,,1,1,,1,1,1,,,,1,1,1,1,1,1,,
Project Renewal,CD/OP Crisis 50 Med Super,8 East 3rd Street,,New York,10003,212-533-8400,,40.725833000000002,-73.991006999999996,1,,,1,,1,,,,,,,1,1,,1,,,1
Project Renewal,Recovery Center/Outpt Chem Dep Clinic,8 East 3rd Street,,New York,10003,212-533-8400x153,www.projectrenewal.org,40.725833000000002,-73.991006999999996,1,,,1,,,,,,,,,1,1,,,,,
Lower Eastside Service Center,Su Casa Mtar,7 Gouverneur Slip East,,New York,10002,212-566-6820,www.lesc.org,40.711047000000001,-73.983259000000004,1,,,1,,1,,,,,,,1,1,,,,,1
Phoenix House,Career Academy,50 Jay Street,,Brooklyn,11201,718-222-6600,www.phoenixhouse.org,40.703344396342899,-73.986637655761598,1,,,1,,1,,,,,,,1,1,,1,,,1
Project Renewal,Medically Monitored Crisis Service,8 East 3rd Street,4th Floor,New York,10003,212-533-8400-138,www.projectrenewal.org,40.725923000000002,-73.990741999999997,1,,,1,,,,,,,,,1,1,,,,,1
